(737, 506)
(739, 504)
(743, 498)
(747, 494)
(751, 487)
(755, 479)
(757, 468)
(760, 459)
(760, 448)
(767, 434)
(770, 423)
(772, 405)
(773, 392)
(771, 383)
(770, 376)
(773, 361)
(774, 353)
(773, 346)
(775, 328)
(776, 317)
(775, 304)
(772, 293)
(768, 281)
(767, 266)
(762, 256)
(758, 247)
(754, 238)
(748, 224)
(744, 212)
(741, 203)
(736, 196)
(734, 188)
(728, 185)
(722, 173)
(715, 165)
(709, 158)
(704, 150)
(698, 144)
(690, 139)
(685, 136)
(678, 133)
(672, 130)
(669, 131)
(658, 127)
(652, 119)
(644, 120)
(627, 115)
(613, 109)
(604, 111)
(597, 109)
(584, 106)
(572, 102)
(558, 107)
(540, 102)
(524, 101)
(510, 106)
(496, 102)
(483, 101)
(469, 115)
(453, 113)
(447, 124)
(439, 119)
(433, 121)
(419, 127)
(410, 128)
(397, 139)
(387, 143)
(373, 153)
(353, 166)
(344, 179)
(340, 187)
(335, 196)
(330, 201)
(322, 206)
(321, 221)
(319, 232)
(315, 240)
(308, 252)
(307, 269)
(298, 284)
(298, 294)
(294, 314)
(297, 325)
(295, 340)
(295, 353)
(294, 362)
(296, 376)
(300, 385)
(301, 397)
(305, 409)
(309, 426)
(314, 436)
(316, 447)
(318, 457)
(319, 468)
(326, 480)
(327, 490)
(330, 497)
(337, 503)
(342, 508)
(346, 509)
(345, 501)
(347, 493)
(345, 481)
(347, 470)
(348, 462)
(345, 456)
(346, 448)
(344, 435)
(343, 426)
(344, 414)
(342, 406)
(347, 392)
(351, 382)
(355, 375)
(362, 363)
(368, 354)
(381, 343)
(393, 331)
(376, 331)
(377, 320)
(380, 309)
(374, 310)
(379, 294)
(386, 283)
(401, 274)
(419, 267)
(432, 267)
(448, 265)
(459, 258)
(471, 251)
(491, 252)
(510, 252)
(517, 259)
(505, 273)
(513, 280)
(529, 278)
(546, 269)
(555, 260)
(567, 259)
(594, 253)
(613, 258)
(627, 266)
(648, 274)
(661, 288)
(668, 295)
(680, 297)
(695, 310)
(696, 322)
(710, 340)
(717, 357)
(723, 373)
(725, 390)
(732, 410)
(731, 428)
(735, 448)
(735, 463)
(737, 485)
(738, 494)
(742, 494)
(746, 490)
(753, 477)
(757, 457)
(762, 441)
(767, 422)
(769, 407)
(771, 384)
(778, 357)
