(797, 442)
(798, 438)
(794, 435)
(792, 433)
(789, 430)
(788, 429)
(786, 427)
(783, 425)
(781, 425)
(779, 424)
(777, 422)
(775, 422)
(773, 422)
(771, 421)
(767, 420)
(764, 418)
(760, 418)
(758, 417)
(754, 414)
(750, 414)
(748, 413)
(743, 412)
(740, 412)
(740, 412)
(739, 412)
(736, 412)
(734, 412)
(732, 414)
(730, 415)
(727, 416)
(723, 419)
(722, 419)
(722, 414)
(719, 410)
(717, 404)
(717, 408)
(717, 411)
(714, 411)
(714, 407)
(711, 409)
(711, 413)
(711, 417)
(713, 419)
(717, 419)
(717, 423)
(723, 426)
(727, 426)
(731, 428)
(734, 427)
(737, 427)
(738, 427)
(739, 427)
(742, 426)
(747, 425)
(749, 425)
(753, 425)
(756, 425)
(760, 426)
(765, 424)
(767, 427)
(771, 429)
(774, 431)
(776, 432)
(780, 434)
(787, 434)
(786, 434)
(784, 434)
(790, 436)
(792, 439)
(796, 441)
(668, 407)
(665, 404)
(662, 401)
(660, 396)
(658, 394)
(655, 391)
(651, 386)
(645, 384)
(643, 383)
(641, 381)
(635, 380)
(634, 380)
(631, 378)
(628, 376)
(626, 376)
(620, 374)
(618, 374)
(611, 373)
(610, 373)
(607, 372)
(605, 372)
(600, 372)
(596, 372)
(593, 373)
(592, 376)
(588, 377)
(587, 381)
(585, 384)
(587, 384)
(588, 384)
(591, 382)
(591, 382)
(599, 381)
(601, 381)
(606, 381)
(608, 381)
(610, 384)
(614, 387)
(618, 387)
(618, 387)
(620, 387)
(623, 388)
(627, 391)
(629, 391)
(631, 392)
(632, 393)
(635, 396)
(639, 397)
(642, 397)
(645, 397)
(650, 400)
(656, 404)
(658, 403)
(660, 403)
(663, 406)
(664, 406)
